Páratartalom [%]	D1	D2	D3	D4	D5	D6	D7	D8	L1	L2	L3	L4	L5	L6	L7	L8	Méretszám	Idő különbség [perc]	Megerősített?
65	26	518	3109	227	3	6	8	11	3109	518	227	26	11	8	6	3	3908	11,9	1
64	1625	3097	790	0	2	2	7	7	3097	1625	790	7	7	2	2	0	5530	4,7	0
64	14	18	3130	3453	357	57	58	35	3453	3130	357	58	57	35	18	14	7122	13,3	0
66	0	0	1902	304	0	0	0	0	1902	304	0	0	0	0	0	0	2206	1168,1	1
63	0	0	0	0	745	2774	0	0	2774	745	0	0	0	0	0	0	3519	5,4	1
63	0	0	1928	2480	0	0	0	0	2480	1928	0	0	0	0	0	0	4408	1,7	1
63	0	0	1	286	2974	862	23	1	2974	862	286	23	1	1	0	0	4147	2	1
63	0	0	0	29	2817	476	0	0	2817	476	29	0	0	0	0	0	3322	1,6	1
63	797	1428	1196	252	11	10	17	11	1428	1196	797	252	17	11	11	10	3722	1,4	0
63	0	0	0	744	2873	2172	342	1	2873	2172	744	342	1	0	0	0	6132	18,6	0
63	0	13	1992	2480	64	0	0	0	2480	1992	64	13	0	0	0	0	4549	14,2	1
64	0	0	0	0	2380	15	0	0	2380	15	0	0	0	0	0	0	2395	7,8	1
50	0	0	38	2554	76	0	0	0	2554	76	38	0	0	0	0	0	2668	41,4	1
64	0	0	867	2948	952	5	1	0	2948	952	867	5	1	0	0	0	4773	28,6	1
63	0	0	0	180	2929	1069	0	0	2929	1069	180	0	0	0	0	0	4178	41,1	1
50	0	0	0	0	0	0	2019	2024	2024	2019	0	0	0	0	0	0	4043	1,5	1
50	7	0	4	2557	10	12	0	0	2557	12	10	7	4	0	0	0	2590	120,3	0
65	5	717	3214	1501	0	1	0	0	3214	1501	717	5	1	0	0	0	5438	23,2	1
66	0	0	0	1239	4659	133	0	0	4659	1239	133	0	0	0	0	0	6031	12,4	1
66	0	0	0	20	4102	3103	0	0	4102	3103	20	0	0	0	0	0	7225	4,3	1
66	49	131	775	2639	1450	299	223	114	2639	1450	775	299	223	131	114	49	5680	58,8	0
52	82	333	632	1823	649	391	93	16	1823	649	632	391	333	93	82	16	4019	39	0
66	0	0	0	290	2509	0	0	0	2509	290	0	0	0	0	0	0	2799	47,8	1
53	0	0	0	0	0	250	1985	12	1985	250	12	0	0	0	0	0	2247	132,1	1
66	0	0	0	1	0	1785	3174	0	3174	1785	1	0	0	0	0	0	4960	46,9	1
67	156	3097	3333	1158	43	24	13	5	3333	3097	1158	156	43	24	13	5	7829	728,3	0
54	0	0	29	2841	2271	52	56	10	2841	2271	56	52	29	10	0	0	5259	340	1
52	4	509	2687	1	4	4	6	3	2687	509	6	4	4	4	3	1	3218	491,3	1
66	3	5	2	2	1763	2742	13	0	2742	1763	13	5	3	2	2	0	4530	85,5	1
65	0	0	0	4458	4268	0	0	0	4458	4268	0	0	0	0	0	0	8726	2,9	1
65	0	0	950	2595	0	0	1	2	2595	950	2	1	0	0	0	0	3548	48	1
67	0	0	2469	0	3	8	6	1	2469	8	6	3	1	0	0	0	2487	520,1	0
